"IID" "pop"
"HG00475" "East Asian"
"HG00476" "East Asian"
"HG00478" "East Asian"
"HG00479" "East Asian"
"HG00500" "East Asian"
"HG00513" "East Asian"
"HG00524" "East Asian"
"HG00525" "East Asian"
"HG00530" "East Asian"
"HG00531" "East Asian"
"HG00533" "East Asian"
"HG00534" "East Asian"
"HG00536" "East Asian"
"HG00537" "East Asian"
"HG00542" "East Asian"
"HG00543" "East Asian"
"HG00551" "American"
"HG00553" "American"
"HG00554" "American"
"HG00556" "East Asian"
"HG00557" "East Asian"
"HG00559" "East Asian"
"HG00560" "East Asian"
"HG00565" "East Asian"
"HG00566" "East Asian"
"HG00580" "East Asian"
"HG00581" "East Asian"
"HG00583" "East Asian"
"HG00584" "East Asian"
"HG00589" "East Asian"
"HG00590" "East Asian"
"HG00592" "East Asian"
"HG00593" "East Asian"
"HG00595" "East Asian"
"HG00596" "East Asian"
"HG00598" "East Asian"
"HG00599" "East Asian"
"HG00607" "East Asian"
"HG00608" "East Asian"
"HG00610" "East Asian"
"HG00611" "East Asian"
"HG00613" "East Asian"
"HG00614" "East Asian"
"HG00619" "East Asian"
"HG00620" "East Asian"
"HG00622" "East Asian"
"HG00623" "East Asian"
"HG00625" "East Asian"
"HG00626" "East Asian"
"HG00628" "East Asian"
"HG00629" "East Asian"
"HG00631" "East Asian"
"HG00632" "East Asian"
"HG00634" "East Asian"
"HG00637" "American"
"HG00638" "American"
"HG00640" "American"
"HG00641" "American"
"HG00650" "East Asian"
"HG00651" "East Asian"
"HG00653" "East Asian"
"HG00654" "East Asian"
"HG00656" "East Asian"
"HG00657" "East Asian"
"HG00662" "East Asian"
"HG00663" "East Asian"
"HG00671" "East Asian"
"HG00672" "East Asian"
"HG00674" "East Asian"
"HG00675" "East Asian"
"HG00683" "East Asian"
"HG00684" "East Asian"
"HG00689" "East Asian"
"HG00690" "East Asian"
"HG00692" "East Asian"
"HG00693" "East Asian"
"HG00698" "East Asian"
"HG00699" "East Asian"
"HG00701" "East Asian"
"HG00704" "East Asian"
"HG00705" "East Asian"
"HG00707" "East Asian"
"HG00708" "East Asian"
"HG00717" "East Asian"
"HG00728" "East Asian"
"HG00729" "East Asian"
"HG00731" "American"
"HG00732" "American"
"HG00734" "American"
"HG00736" "American"
"HG00737" "American"
"HG00739" "American"
"HG00740" "American"
"HG00742" "American"
"HG00743" "American"
"HG00759" "East Asian"
"HG00766" "East Asian"
"HG00844" "East Asian"
"HG00851" "East Asian"
"HG00864" "East Asian"
"HG00867" "East Asian"
"HG00879" "East Asian"
"HG00881" "East Asian"
"HG00956" "East Asian"
"HG00978" "East Asian"
"HG00982" "East Asian"
"HG01028" "East Asian"
"HG01029" "East Asian"
"HG01031" "East Asian"
"HG01046" "East Asian"
"HG01047" "American"
"HG01048" "American"
"HG01049" "American"
"HG01051" "American"
"HG01052" "American"
"HG01054" "American"
"HG01055" "American"
"HG01058" "American"
"HG01060" "American"
"HG01061" "American"
"HG01063" "American"
"HG01064" "American"
"HG01066" "American"
"HG01067" "American"
"HG01069" "American"
"HG01070" "American"
"HG01072" "American"
"HG01073" "American"
"HG01075" "American"
"HG01077" "American"
"HG01079" "American"
"HG01080" "American"
"HG01082" "American"
"HG01083" "American"
"HG01085" "American"
"HG01086" "American"
"HG01088" "American"
"HG01089" "American"
"HG01092" "American"
"HG01094" "American"
"HG01095" "American"
"HG01097" "American"
"HG01098" "American"
"HG01101" "American"
"HG01102" "American"
"HG01104" "American"
"HG01105" "American"
"HG01107" "American"
"HG01108" "American"
"HG01110" "American"
"HG01111" "American"
"HG01112" "American"
"HG01113" "American"
"HG01119" "American"
"HG01121" "American"
"HG01122" "American"
"HG01124" "American"
"HG01125" "American"
"HG01130" "American"
"HG01131" "American"
"HG01133" "American"
"HG01134" "American"
"HG01136" "American"
"HG01137" "American"
"HG01139" "American"
"HG01140" "American"
"HG01142" "American"
"HG01148" "American"
"HG01149" "American"
"HG01161" "American"
"HG01162" "American"
"HG01164" "American"
"HG01167" "American"
"HG01168" "American"
"HG01170" "American"
"HG01171" "American"
"HG01173" "American"
"HG01174" "American"
"HG01176" "American"
"HG01177" "American"
"HG01182" "American"
"HG01183" "American"
"HG01187" "American"
"HG01188" "American"
"HG01190" "American"
"HG01191" "American"
"HG01197" "American"
"HG01198" "American"
"HG01200" "American"
"HG01204" "American"
"HG01205" "American"
"HG01241" "American"
"HG01242" "American"
"HG01247" "American"
"HG01248" "American"
"HG01250" "American"
"HG01251" "American"
"HG01253" "American"
"HG01254" "American"
"HG01256" "American"
"HG01257" "American"
"HG01259" "American"
"HG01260" "American"
"HG01269" "American"
"HG01271" "American"
"HG01272" "American"
"HG01275" "American"
"HG01277" "American"
"HG01280" "American"
"HG01281" "American"
"HG01284" "American"
"HG01286" "American"
"HG01302" "American"
"HG01303" "American"
"HG01305" "American"
"HG01308" "American"
"HG01311" "American"
"HG01312" "American"
"HG01323" "American"
"HG01325" "American"
"HG01326" "American"
"HG01334" "European"
"HG01341" "American"
"HG01342" "American"
"HG01344" "American"
"HG01345" "American"
"HG01348" "American"
"HG01350" "American"
"HG01351" "American"
"HG01353" "American"
"HG01354" "American"
"HG01356" "American"
"HG01357" "American"
"HG01359" "American"
"HG01360" "American"
"HG01362" "American"
"HG01363" "American"
"HG01365" "American"
"HG01366" "American"
"HG01369" "American"
"HG01372" "American"
"HG01374" "American"
"HG01375" "American"
"HG01377" "American"
"HG01378" "American"
"HG01383" "American"
"HG01384" "American"
"HG01389" "American"
"HG01390" "American"
"HG01392" "American"
"HG01393" "American"
"HG01395" "American"
"HG01396" "American"
"HG01398" "American"
"HG01402" "American"
"HG01403" "American"
"HG01405" "American"
"HG01412" "American"
"HG01413" "American"
"HG01414" "American"
"HG01431" "American"
"HG01432" "American"
"HG01435" "American"
"HG01437" "American"
"HG01438" "American"
"HG01440" "American"
"HG01441" "American"
"HG01443" "American"
"HG01444" "American"
"HG01447" "American"
"HG01455" "American"
"HG01456" "American"
"HG01459" "American"
"HG01461" "American"
"HG01462" "American"
"HG01464" "American"
"HG01465" "American"
"HG01468" "American"
"HG01474" "American"
"HG01479" "American"
"HG01485" "American"
"HG01486" "American"
"HG01488" "American"
"HG01489" "American"
"HG01491" "American"
"HG01492" "American"
"HG01494" "American"
"HG01495" "American"
"HG01497" "American"
"HG01498" "American"
"HG01500" "European"
"HG01501" "European"
"HG01503" "European"
"HG01504" "European"
"HG01506" "European"
"HG01507" "European"
"HG01509" "European"
"HG01510" "European"
"HG01512" "European"
"HG01513" "European"
"HG01515" "European"
"HG01516" "European"
"HG01518" "European"
"HG01519" "European"
"HG01521" "European"
"HG01522" "European"
"HG01524" "European"
"HG01525" "European"
"HG01527" "European"
"HG01528" "European"
"HG01530" "European"
"HG01531" "European"
"HG01536" "European"
"HG01537" "European"
"HG01550" "American"
"HG01551" "American"
"HG01556" "American"
"HG01565" "American"
"HG01566" "American"
"HG01571" "American"
"HG01572" "American"
"HG01577" "American"
"HG01578" "American"
"HG01583" "South Asian"
"HG01586" "South Asian"
"HG01589" "South Asian"
"HG01593" "South Asian"
"HG01595" "East Asian"
"HG01596" "East Asian"
"HG01597" "East Asian"
"HG01598" "East Asian"
"HG01599" "East Asian"
"HG01600" "East Asian"
"HG01602" "European"
"HG01603" "European"
"HG01605" "European"
"HG01606" "European"
"HG01607" "European"
"HG01608" "European"
"HG01610" "European"
"HG01612" "European"
"HG01613" "European"
"HG01615" "European"
"HG01617" "European"
"HG01618" "European"
"HG01619" "European"
"HG01620" "European"
"HG01623" "European"
"HG01624" "European"
"HG01625" "European"
"HG01626" "European"
"HG01628" "European"
"HG01630" "European"
"HG01631" "European"
"HG01632" "European"
"HG01668" "European"
"HG01669" "European"
"HG01670" "European"
"HG01672" "European"
"HG01673" "European"
"HG01675" "European"
"HG01676" "European"
"HG01678" "European"
"HG01679" "European"
"HG01680" "European"
"HG01682" "European"
"HG01684" "European"
"HG01685" "European"
"HG01686" "European"
"HG01694" "European"
"HG01695" "European"
"HG01697" "European"
"HG01699" "European"
"HG01700" "European"
"HG01702" "European"
"HG01704" "European"
"HG01705" "European"
"HG01707" "European"
"HG01708" "European"
"HG01709" "European"
"HG01710" "European"
"HG01746" "European"
"HG01747" "European"
"HG01756" "European"
"HG01757" "European"
"HG01761" "European"
"HG01762" "European"
"HG01765" "European"
"HG01766" "European"
"HG01767" "European"
"HG01768" "European"
"HG01770" "European"
"HG01771" "European"
"HG01773" "European"
"HG01775" "European"
"HG01776" "European"
"HG01777" "European"
"HG01779" "European"
"HG01781" "European"
"HG01783" "European"
"HG01784" "European"
"HG01785" "European"
"HG01786" "European"
"HG01789" "European"
"HG01790" "European"
"HG01791" "European"
"HG01794" "East Asian"
"HG01795" "East Asian"
"HG01796" "East Asian"
"HG01797" "East Asian"
"HG01798" "East Asian"
"HG01799" "East Asian"
"HG01800" "East Asian"
"HG01801" "East Asian"
"HG01802" "East Asian"
"HG01804" "East Asian"
"HG01805" "East Asian"
"HG01806" "East Asian"
"HG01807" "East Asian"
"HG01808" "East Asian"
"HG01809" "East Asian"
"HG01810" "East Asian"
"HG01811" "East Asian"
"HG01812" "East Asian"
"HG01813" "East Asian"
"HG01815" "East Asian"
"HG01816" "East Asian"
"HG01817" "East Asian"
"HG01840" "East Asian"
"HG01841" "East Asian"
"HG01842" "East Asian"
"HG01843" "East Asian"
"HG01844" "East Asian"
"HG01845" "East Asian"
"HG01846" "East Asian"
"HG01847" "East Asian"
"HG01848" "East Asian"
"HG01849" "East Asian"
"HG01850" "East Asian"
"HG01851" "East Asian"
"HG01852" "East Asian"
"HG01853" "East Asian"
"HG01855" "East Asian"
"HG01857" "East Asian"
"HG01858" "East Asian"
"HG01859" "East Asian"
"HG01860" "East Asian"
"HG01861" "East Asian"
"HG01862" "East Asian"
"HG01863" "East Asian"
"HG01864" "East Asian"
"HG01865" "East Asian"
"HG01866" "East Asian"
"HG01867" "East Asian"
"HG01868" "East Asian"
"HG01869" "East Asian"
"HG01870" "East Asian"
"HG01871" "East Asian"
"HG01872" "East Asian"
"HG01873" "East Asian"
"HG01874" "East Asian"
"HG01878" "East Asian"
"HG01879" "African"
"HG01880" "African"
"HG01882" "African"
"HG01883" "African"
"HG01885" "African"
"HG01886" "African"
"HG01889" "African"
"HG01890" "African"
"HG01892" "American"
"HG01893" "American"
"HG01894" "African"
"HG01896" "African"
"HG01912" "African"
"HG01914" "African"
"HG01915" "African"
"HG01917" "American"
"HG01918" "American"
"HG01920" "American"
"HG01921" "American"
"HG01923" "American"
"HG01924" "American"
"HG01926" "American"
"HG01927" "American"
"HG01932" "American"
"HG01933" "American"
"HG01935" "American"
"HG01936" "American"
"HG01938" "American"
"HG01939" "American"
"HG01941" "American"
"HG01942" "American"
"HG01944" "American"
"HG01945" "American"
"HG01947" "American"
"HG01948" "American"
"HG01950" "American"
"HG01951" "American"
"HG01953" "American"
"HG01954" "American"
"HG01956" "African"
"HG01958" "African"
"HG01961" "American"
"HG01965" "American"
"HG01967" "American"
"HG01968" "American"
"HG01970" "American"
"HG01971" "American"
"HG01973" "American"
"HG01974" "American"
"HG01976" "American"
"HG01977" "American"
"HG01979" "American"
"HG01980" "American"
"HG01982" "American"
"HG01985" "African"
"HG01986" "African"
"HG01988" "African"
"HG01989" "African"
"HG01990" "African"
"HG01991" "American"
"HG01992" "American"
"HG01997" "American"
"HG02002" "American"
"HG02003" "American"
"HG02006" "American"
"HG02008" "American"
"HG02009" "African"
"HG02010" "African"
"HG02012" "African"
"HG02013" "African"
"HG02014" "African"
"HG02016" "East Asian"
"HG02017" "East Asian"
"HG02019" "East Asian"
"HG02020" "East Asian"
"HG02023" "East Asian"
"HG02025" "East Asian"
"HG02026" "East Asian"
"HG02028" "East Asian"
"HG02029" "East Asian"
"HG02031" "East Asian"
"HG02032" "East Asian"
"HG02035" "East Asian"
"HG02040" "East Asian"
"HG02047" "East Asian"
"HG02048" "East Asian"
"HG02049" "East Asian"
"HG02050" "East Asian"
"HG02051" "African"
"HG02052" "African"
"HG02053" "African"
"HG02054" "African"
"HG02057" "East Asian"
"HG02058" "East Asian"
"HG02060" "East Asian"
"HG02061" "East Asian"
"HG02064" "East Asian"
"HG02067" "East Asian"
"HG02069" "East Asian"
"HG02070" "East Asian"
"HG02072" "East Asian"
"HG02073" "East Asian"
"HG02075" "East Asian"
"HG02076" "East Asian"
"HG02078" "East Asian"
"HG02079" "East Asian"
"HG02081" "East Asian"
"HG02082" "East Asian"
"HG02084" "East Asian"
"HG02085" "East Asian"
"HG02086" "East Asian"
"HG02087" "East Asian"
"HG02088" "East Asian"
"HG02089" "American"
"HG02090" "American"
"HG02095" "African"
"HG02102" "American"
"HG02104" "American"
"HG02105" "American"
"HG02107" "African"
"HG02108" "African"
"HG02111" "African"
"HG02113" "East Asian"
"HG02116" "East Asian"
"HG02121" "East Asian"
"HG02122" "East Asian"
"HG02127" "East Asian"
"HG02128" "East Asian"
"HG02130" "East Asian"
"HG02131" "East Asian"
"HG02133" "East Asian"
"HG02134" "East Asian"
"HG02136" "East Asian"
"HG02137" "East Asian"
"HG02138" "East Asian"
"HG02139" "East Asian"
"HG02140" "East Asian"
"HG02141" "East Asian"
"HG02142" "East Asian"
"HG02143" "African"
"HG02144" "African"
"HG02146" "American"
"HG02147" "American"
"HG02150" "American"
"HG02151" "East Asian"
"HG02152" "East Asian"
"HG02153" "East Asian"
"HG02154" "East Asian"
"HG02155" "East Asian"
"HG02156" "East Asian"
"HG02164" "East Asian"
"HG02165" "East Asian"
"HG02166" "East Asian"
"HG02178" "East Asian"
"HG02179" "East Asian"
"HG02180" "East Asian"
"HG02181" "East Asian"
"HG02182" "East Asian"
"HG02184" "East Asian"
"HG02185" "East Asian"
"HG02186" "East Asian"
"HG02187" "East Asian"
"HG02188" "East Asian"
"HG02190" "East Asian"
"HG02215" "European"
"HG02219" "European"
"HG02220" "European"
"HG02221" "European"
"HG02223" "European"
"HG02224" "European"
"HG02230" "European"
"HG02231" "European"
"HG02232" "European"
"HG02233" "European"
"HG02235" "European"
"HG02236" "European"
"HG02238" "European"
"HG02239" "European"
"HG02250" "East Asian"
"HG02252" "American"
"HG02253" "American"
"HG02255" "African"
"HG02256" "African"
"HG02259" "American"
"HG02260" "American"
"HG02262" "American"
"HG02265" "American"
"HG02266" "American"
"HG02271" "American"
"HG02272" "American"
"HG02274" "American"
"HG02275" "American"
"HG02277" "American"
"HG02278" "American"
"HG02281" "African"
"HG02282" "African"
"HG02283" "African"
"HG02284" "African"
"HG02285" "American"
"HG02286" "American"
"HG02291" "American"
"HG02292" "American"
"HG02298" "American"
"HG02299" "American"
"HG02301" "American"
"HG02304" "American"
"HG02307" "African"
"HG02308" "African"
"HG02309" "African"
"HG02312" "American"
"HG02314" "African"
"HG02315" "African"
"HG02317" "African"
"HG02318" "African"
"HG02322" "African"
"HG02323" "African"
"HG02325" "African"
"HG02330" "African"
"HG02332" "African"
"HG02334" "African"
"HG02337" "African"
"HG02339" "African"
"HG02343" "African"
"HG02345" "American"
"HG02348" "American"
"HG02351" "East Asian"
"HG02353" "East Asian"
"HG02355" "East Asian"
"HG02356" "East Asian"
"HG02360" "East Asian"
"HG02364" "East Asian"
"HG02367" "East Asian"
"HG02371" "East Asian"
"HG02373" "East Asian"
"HG02374" "East Asian"
"HG02375" "East Asian"
"HG02379" "East Asian"
"HG02380" "East Asian"
"HG02382" "East Asian"
"HG02383" "East Asian"
"HG02384" "East Asian"
"HG02385" "East Asian"
"HG02386" "East Asian"
"HG02389" "East Asian"
"HG02390" "East Asian"
"HG02391" "East Asian"
"HG02392" "East Asian"
"HG02394" "East Asian"
"HG02395" "East Asian"
"HG02396" "East Asian"
"HG02397" "East Asian"
"HG02398" "East Asian"
"HG02399" "East Asian"
"HG02401" "East Asian"
"HG02402" "East Asian"
"HG02406" "East Asian"
"HG02407" "East Asian"
"HG02408" "East Asian"
"HG02409" "East Asian"
"HG02410" "East Asian"
"HG02419" "African"
"HG02420" "African"
"HG02425" "American"
"HG02427" "African"
"HG02429" "African"
"HG02433" "African"
"HG02439" "African"
"HG02442" "African"
"HG02445" "African"
"HG02449" "African"
"HG02450" "African"
"HG02455" "African"
"HG02461" "African"
"HG02462" "African"
"HG02464" "African"
"HG02465" "African"
"HG02470" "African"
"HG02471" "African"
"HG02476" "African"
"HG02477" "African"
"HG02479" "African"
"HG02481" "African"
"HG02484" "African"
"HG02485" "African"
"HG02489" "African"
"HG02490" "South Asian"
"HG02491" "South Asian"
"HG02493" "South Asian"
"HG02494" "South Asian"
"HG02496" "African"
"HG02497" "African"
"HG02501" "African"
"HG02502" "African"
"HG02505" "African"
"HG02508" "African"
"HG02511" "African"
"HG02512" "East Asian"
"HG02513" "East Asian"
"HG02521" "East Asian"
"HG02522" "East Asian"
"HG02536" "African"
"HG02537" "African"
"HG02541" "African"
"HG02545" "African"
"HG02546" "African"
"HG02549" "African"
"HG02554" "African"
"HG02555" "African"
"HG02557" "African"
"HG02558" "African"
"HG02561" "African"
"HG02562" "African"
"HG02568" "African"
"HG02570" "African"
"HG02571" "African"
"HG02573" "African"
"HG02574" "African"
"HG02577" "African"
"HG02580" "African"
"HG02582" "African"
"HG02583" "African"
"HG02585" "African"
"HG02586" "African"
"HG02588" "African"
"HG02589" "African"
"HG02594" "African"
"HG02595" "African"
"HG02597" "South Asian"
"HG02600" "South Asian"
"HG02601" "South Asian"
"HG02603" "South Asian"
"HG02604" "South Asian"
"HG02610" "African"
"HG02611" "African"
"HG02613" "African"
"HG02614" "African"
"HG02620" "African"
"HG02621" "African"
"HG02623" "African"
"HG02624" "African"
"HG02628" "African"
"HG02629" "African"
"HG02634" "African"
"HG02635" "African"
"HG02642" "African"
"HG02643" "African"
"HG02645" "African"
"HG02646" "African"
"HG02648" "South Asian"
"HG02649" "South Asian"
"HG02651" "South Asian"
"HG02652" "South Asian"
"HG02654" "South Asian"
"HG02655" "South Asian"
"HG02657" "South Asian"
"HG02658" "South Asian"
"HG02660" "South Asian"
"HG02661" "South Asian"
"HG02666" "African"
"HG02667" "African"
"HG02675" "African"
"HG02676" "African"
"HG02678" "African"
"HG02679" "African"
"HG02681" "South Asian"
"HG02682" "South Asian"
"HG02684" "South Asian"
"HG02685" "South Asian"
"HG02687" "South Asian"
"HG02688" "South Asian"
"HG02690" "South Asian"
"HG02691" "South Asian"
"HG02694" "South Asian"
"HG02696" "South Asian"
"HG02697" "South Asian"
"HG02699" "South Asian"
"HG02700" "South Asian"
"HG02702" "African"
"HG02703" "African"
"HG02715" "African"
"HG02716" "African"
"HG02721" "African"
"HG02722" "African"
"HG02724" "South Asian"
"HG02725" "South Asian"
"HG02727" "South Asian"
"HG02728" "South Asian"
"HG02731" "South Asian"
"HG02733" "South Asian"
"HG02734" "South Asian"
"HG02736" "South Asian"
"HG02737" "South Asian"
"HG02756" "African"
"HG02757" "African"
"HG02759" "African"
"HG02760" "African"
"HG02763" "African"
"HG02768" "African"
"HG02769" "African"
"HG02771" "African"
"HG02772" "African"
"HG02774" "South Asian"
"HG02775" "South Asian"
"HG02778" "South Asian"
"HG02780" "South Asian"
"HG02783" "South Asian"
"HG02784" "South Asian"
"HG02786" "South Asian"
"HG02787" "South Asian"
"HG02789" "South Asian"
"HG02790" "South Asian"
"HG02792" "South Asian"
"HG02793" "South Asian"
"HG02798" "African"
"HG02799" "African"
"HG02804" "African"
"HG02805" "African"
"HG02807" "African"
"HG02808" "African"
"HG02810" "African"
"HG02811" "African"
"HG02813" "African"
"HG02814" "African"
"HG02816" "African"
"HG02817" "African"
"HG02819" "African"
"HG02820" "African"
"HG02836" "African"
"HG02837" "African"
"HG02839" "African"
"HG02840" "African"
"HG02851" "African"
"HG02852" "African"
"HG02854" "African"
"HG02855" "African"
"HG02860" "African"
"HG02861" "African"
"HG02870" "African"
"HG02878" "African"
"HG02879" "African"
"HG02881" "African"
"HG02882" "African"
"HG02884" "African"
"HG02885" "African"
"HG02887" "African"
"HG02888" "African"
"HG02890" "African"
"HG02891" "African"
"HG02895" "African"
"HG02896" "African"
"HG02922" "African"
"HG02923" "African"
"HG02938" "African"
"HG02941" "African"
"HG02943" "African"
"HG02944" "African"
"HG02946" "African"
"HG02947" "African"
"HG02952" "African"
"HG02953" "African"
"HG02968" "African"
"HG02970" "African"
"HG02971" "African"
"HG02973" "African"
"HG02974" "African"
"HG02976" "African"
"HG02977" "African"
"HG02979" "African"
"HG02981" "African"
"HG02982" "African"
"HG02983" "African"
"HG03006" "South Asian"
"HG03007" "South Asian"
"HG03009" "South Asian"
"HG03012" "South Asian"
"HG03015" "South Asian"
"HG03016" "South Asian"
"HG03018" "South Asian"
"HG03019" "South Asian"
"HG03021" "South Asian"
"HG03022" "South Asian"
"HG03024" "African"
"HG03025" "African"
"HG03027" "African"
"HG03028" "African"
"HG03039" "African"
"HG03040" "African"
"HG03045" "African"
"HG03046" "African"
"HG03048" "African"
"HG03049" "African"
"HG03052" "African"
"HG03054" "African"
"HG03055" "African"
"HG03057" "African"
"HG03058" "African"
"HG03060" "African"
"HG03061" "African"
"HG03063" "African"
"HG03064" "African"
"HG03066" "African"
"HG03069" "African"
"HG03072" "African"
"HG03073" "African"
"HG03074" "African"
"HG03077" "African"
"HG03078" "African"
"HG03079" "African"
"HG03081" "African"
"HG03082" "African"
"HG03084" "African"
"HG03085" "African"
"HG03086" "African"
"HG03088" "African"
"HG03091" "African"
"HG03095" "African"
"HG03096" "African"
"HG03097" "African"
"HG03099" "African"
"HG03100" "African"
"HG03103" "African"
"HG03105" "African"
"HG03108" "African"
"HG03109" "African"
"HG03111" "African"
"HG03112" "African"
"HG03114" "African"
"HG03115" "African"
"HG03117" "African"
"HG03118" "African"
"HG03120" "African"
"HG03121" "African"
"HG03123" "African"
"HG03124" "African"
"HG03126" "African"
"HG03127" "African"
"HG03129" "African"
"HG03130" "African"
"HG03132" "African"
"HG03133" "African"
"HG03135" "African"
"HG03136" "African"
"HG03139" "African"
"HG03157" "African"
"HG03159" "African"
"HG03160" "African"
"HG03162" "African"
"HG03163" "African"
"HG03166" "African"
"HG03168" "African"
"HG03169" "African"
"HG03172" "African"
"HG03175" "African"
"HG03189" "African"
"HG03190" "African"
"HG03193" "African"
"HG03195" "African"
"HG03196" "African"
"HG03198" "African"
"HG03199" "African"
"HG03202" "African"
"HG03209" "African"
"HG03212" "African"
"HG03224" "African"
"HG03225" "African"
"HG03228" "South Asian"
"HG03229" "South Asian"
"HG03234" "South Asian"
"HG03235" "South Asian"
"HG03237" "South Asian"
"HG03238" "South Asian"
"HG03240" "African"
"HG03241" "African"
"HG03246" "African"
"HG03247" "African"
"HG03258" "African"
"HG03259" "African"
"HG03265" "African"
"HG03267" "African"
"HG03268" "African"
"HG03270" "African"
"HG03271" "African"
"HG03279" "African"
"HG03280" "African"
"HG03291" "African"
"HG03294" "African"
"HG03295" "African"
"HG03297" "African"
"HG03298" "African"
"HG03300" "African"
"HG03301" "African"
"HG03303" "African"
"HG03304" "African"
"HG03311" "African"
"HG03313" "African"
"HG03342" "African"
"HG03343" "African"
"HG03351" "African"
"HG03352" "African"
"HG03354" "African"
"HG03363" "African"
"HG03366" "African"
"HG03367" "African"
"HG03369" "African"
"HG03370" "African"
"HG03372" "African"
"HG03376" "African"
"HG03378" "African"
"HG03380" "African"
"HG03382" "African"
"HG03385" "African"
"HG03388" "African"
"HG03391" "African"
"HG03394" "African"
